"어업별","품종별","행정구역별","판매형태별","항목","단위","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월",
"계","내수면어업","광주광역시","계","생산량:계","","1.05","1.02","1.59","1.511","1.573","1.51","1.521","1.67","1.69","1.75","1.357","1.8","1.64","1.645","1.75","1.56","1.745","1.745","1.825","1.772","1.8","1.6","1.64","1.735","1.725","1.67","1.74","1.74","1.76","1.77","1.785","1.79","1.49","1.75","1.735","1.74","1.175","4.26","1.088","1.233","1.25","1.249","1.265","1.243","1.235","1.255","1.237","1.23","1.21","1.22",".9","1.09","1.715","1.804","1.84",".82",".215","1.115","1.33","1.125","1.12","1.11","1.11","1.12","1.13",".705",".757",".674",".26","1.136","1.107",".92",".913",".946",".941",".931","1.226","1.007","1.237","1.524",
"계","내수면어업","광주광역시","비계통","생산량:계","","1.05","1.02","1.59","1.511","1.573","1.51","1.521","1.67","1.69","1.75","1.357","1.8","1.64","1.645","1.75","1.56","1.745","1.745","1.825","1.772","1.8","1.6","1.64","1.735","1.725","1.67","1.74","1.74","1.76","1.77","1.785","1.79","1.49","1.75","1.735","1.74","1.175","4.26","1.088","1.233","1.25","1.249","1.265","1.243","1.235","1.255","1.237","1.23","1.21","1.22",".9","1.09","1.715","1.804","1.84",".82",".215","1.115","1.33","1.125","1.12","1.11","1.11","1.12","1.13",".705",".757",".674",".26","1.136","1.107",".92",".913",".946",".941",".931","1.226","1.007","1.237","1.524",
"계","내수면어업","대전광역시","계","생산량:계","","1.5","1.3","1.5","1.5","6","2.55","7.2","28","26.4","18","","","1","1.1","1.1","1.2","1.2","1","3","9","13.1","9.1","1","","","",".5","3.2","3.2","2.6","6.8","12.2","2.8","12.7","2.8","",".084",".07","1.29","4.44","4.3935","1.793","2.461","5.566","7.395","14",".022",".005",".111",".069",".221","4.466","3.113","5.273","2.491","4.208","5.666","18.06","16.02","1.126","1.089",".227","1.645","2.281","3.293","4.252","3.327","6.084","8.642","7.247","3.744","4.531",".842",".97",".162",".483","1.138","2.05","2.18","3.6315",
"계","내수면어업","대전광역시","비계통","생산량:계","","1.5","1.3","1.5","1.5","6","2.55","7.2","28","26.4","18","","","1","1.1","1.1","1.2","1.2","1","3","9","13.1","9.1","1","","","",".5","3.2","3.2","2.6","6.8","12.2","2.8","12.7","2.8","",".084",".07","1.29","4.44","4.3935","1.793","2.461","5.566","7.395","14",".022",".005",".111",".069",".221","4.466","3.113","5.273","2.491","4.208","5.666","18.06","16.02","1.126","1.089",".227","1.645","2.281","3.293","4.252","3.327","6.084","8.642","7.247","3.744","4.531",".842",".97",".162",".483","1.138","2.05","2.18","3.6315",
"계","내수면어업","울산광역시","계","생산량:계","",".45",".365",".41",".405",".423",".337",".34",".31",".26",".3974",".54",".305",".35",".31",".32",".405",".424",".304",".29",".28",".27",".3059",".4999",".175",".128",".172",".22",".235",".25",".217",".155",".135",".25",".475",".619",".23",".12",".15",".15",".15",".16",".5",".22",".125",".205",".3648",".6226",".3",".187",".005",".033",".05",".08",".08",".04",".008",".027","1.195","1.198",".05",".425",".46",".08",".05",".05",".04",".34",".34",".03",".3696",".72",".508",".58",".48",".475",".53",".47",".24",".255",".275",
"계","내수면어업","울산광역시","비계통","생산량:계","",".45",".365",".41",".405",".423",".337",".34",".31",".26",".3974",".54",".305",".35",".31",".32",".405",".424",".304",".29",".28",".27",".3059",".4999",".175",".128",".172",".22",".235",".25",".217",".155",".135",".25",".475",".619",".23",".12",".15",".15",".15",".16",".5",".22",".125",".205",".3648",".6226",".3",".187",".005",".033",".05",".08",".08",".04",".008",".027","1.195","1.198",".05",".425",".46",".08",".05",".05",".04",".34",".34",".03",".3696",".72",".508",".58",".48",".475",".53",".47",".24",".255",".275",
"계","내수면어업","세종특별자치시","계","생산량:계","","17.66","15.568","16.73","25.611","18.882","43.409","43.6855","25.9022","18.747","29.941","29.75","39.213","20.015","23.307","38.445","22.708","23.288","20.0305","30.126","50.816","58.927","22.496","10.541","31.827","17.904","10.004","14.921","37.987","47.201","60.493","27.724","46.625","46.025","18.406","10.253","9.986","16.299","9.993","9.338","27.4","11.087","18.541","24.795","17.751","14.829","9.567","6.53","6.431","16.969","7.044","6.04","16.72","31.129","11.477","36.48","16.643","22.671","33.941","5.027","3.672","5.573","8.64","11.573","17.869","10.883","35.611","12.942","34.411","39.006","32.732","9.303","6.213","5.433","15.39","20.029","9.982","11.771","7.668","20.21","41.13",
"계","내수면어업","세종특별자치시","비계통","생산량:계","","17.66","15.568","16.73","25.611","18.882","43.409","43.6855","25.9022","18.747","29.941","29.75","39.213","20.015","23.307","38.445","22.708","23.288","20.0305","30.126","50.816","58.927","22.496","10.541","31.827","17.904","10.004","14.921","37.987","47.201","60.493","27.724","46.625","46.025","18.406","10.253","9.986","16.299","9.993","9.338","27.4","11.087","18.541","24.795","17.751","14.829","9.567","6.53","6.431","16.969","7.044","6.04","16.72","31.129","11.477","36.48","16.643","22.671","33.941","5.027","3.672","5.573","8.64","11.573","17.869","10.883","35.611","12.942","34.411","39.006","32.732","9.303","6.213","5.433","15.39","20.029","9.982","11.771","7.668","20.21","41.13",
"계","내수면어업","경기도","계","생산량:계","","115.7912","80.1396","274.37972","414.11396","443.48211","370.77196","291.81962","209.99454","280.91534","219.66738","202.19997","95.55475","85.83888","86.03254","227.81603","237.90608","352.90648","287.61763","258.18772","278.99781","291.64852","268.73498","206.09996","120.7836","73.474","54.738","227.02718","312.38453","361.25945","309.87955","358.45971","318.18474","385.71623","323.75294","370.96285","178.14895","122.54209","70.54167","225.31194","264.77473","389.67689","483.18918","386.53037","414.55874","440.06448","391.55996","388.76413","108.68956","75.02974","70.98176","186.03941","255.91426","380.23152","283.01816","347.5404","256.30675","316.50557","281.06087","221.54999","170.83785","53.54568","89.41368","231.79347","265.02803","419.25357","375.45752","436.56851","406.31066","557.77578","377.34669","262.71683","137.41707","118.95664","218.63172","227.01052","487.67774","509.06512","397.05064","414.13167","377.61194",
"계","내수면어업","경기도","비계통","생산량:계","","115.7912","80.1396","274.37972","414.11396","443.48211","370.77196","291.81962","209.99454","280.91534","219.66738","202.19997","95.55475","85.83888","86.03254","227.81603","237.90608","352.90648","287.61763","258.18772","278.99781","291.64852","268.73498","206.09996","120.7836","73.474","54.738","227.02718","312.38453","361.25945","309.87955","358.45971","318.18474","385.71623","323.75294","370.96285","178.14895","122.54209","70.54167","225.31194","264.77473","389.67689","483.18918","386.53037","414.55874","440.06448","391.55996","388.76413","108.68956","75.02974","70.98176","186.03941","255.91426","380.23152","283.01816","347.5404","256.30675","316.50557","281.06087","221.54999","170.83785","53.54568","89.41368","231.79347","265.02803","419.25357","375.45752","436.56851","406.31066","557.77578","377.34669","262.71683","137.41707","118.95664","218.63172","227.01052","487.67774","509.06512","397.05064","414.13167","377.61194",
